ntacode,2010/1/1,2010/10/1,2010/11/1,2010/12/1,2010/2/1,2010/3/1,2010/4/1,2010/5/1,2010/6/1,2010/7/1,2010/8/1,2010/9/1,2011/1/1,2011/10/1,2011/11/1,2011/12/1,2011/2/1,2011/3/1,2011/4/1,2011/5/1,2011/6/1,2011/7/1,2011/8/1,2011/9/1,2012/1/1,2012/10/1,2012/11/1,2012/12/1,2012/2/1,2012/3/1,2012/4/1,2012/5/1,2012/6/1,2012/7/1,2012/8/1,2012/9/1,2013/1/1,2013/10/1,2013/11/1,2013/12/1,2013/2/1,2013/3/1,2013/4/1,2013/5/1,2013/6/1,2013/7/1,2013/8/1,2013/9/1,2014/1/1,2014/10/1,2014/11/1,2014/12/1,2014/2/1,2014/3/1,2014/4/1,2014/5/1,2014/6/1,2014/7/1,2014/8/1,2014/9/1,2015/1/1,2015/10/1,2015/11/1,2015/12/1,2015/2/1,2015/3/1,2015/4/1,2015/5/1,2015/6/1,2015/7/1,2015/8/1,2015/9/1,2016/1/1,2016/10/1,2016/11/1,2016/12/1,2016/2/1,2016/3/1,2016/4/1,2016/5/1,2016/6/1,2016/7/1,2016/8/1,2016/9/1,2017/1/1,2017/10/1,2017/11/1,2017/12/1,2017/2/1,2017/3/1,2017/4/1,2017/5/1,2017/6/1,2017/7/1,2017/8/1,2017/9/1,2018/1/1,2018/10/1,2018/11/1,2018/12/1,2018/2/1,2018/3/1,2018/4/1,2018/5/1,2018/6/1,2018/7/1,2018/8/1,2018/9/1,2019/1/1,2019/10/1,2019/11/1,2019/12/1,2019/2/1,2019/3/1,2019/4/1,2019/5/1,2019/6/1,2019/7/1,2019/8/1,2019/9/1,2020/1/1,2020/10/1,2020/11/1,2020/12/1,2020/2/1,2020/3/1,2020/4/1,2020/5/1,2020/6/1,2020/7/1,2020/8/1,2020/9/1,2021/1/1,2021/10/1,2021/11/1,2021/12/1,2021/2/1,2021/3/1,2021/4/1,2021/5/1,2021/6/1,2021/7/1,2021/8/1,2021/9/1,2022/1/1,2022/10/1,2022/11/1,2022/12/1,2022/2/1,2022/3/1,2022/4/1,2022/5/1,2022/6/1,2022/7/1,2022/8/1,2022/9/1,gentrification
BK09,697798.5513220129,428324.2031949272,990863.745577413,752210.7909061075,780888.9901835658,725325.2152111128,828905.2696073218,816189.519086293,796520.7102534364,802886.6429653009,750107.9057970784,759545.2184348449,610867.299246097,639516.9662118312,840426.8494980461,748742.7440005047,903572.9152203515,819011.1184096762,573273.548294265,780491.7348049401,953854.3448330128,888310.238573205,791730.9695189733,664220.384203739,643378.2020891737,836339.8151785925,578113.4278686722,745953.9757175413,801295.3814373671,652580.9866885656,695112.9996091537,801873.3705871487,881990.3044525512,852985.9036240167,791345.685387692,913114.9311063406,746790.2451093668,745079.6009346563,927939.8870064903,763588.4175864926,832842.6805656245,800753.7260386917,800841.4582292013,925168.711216004,858284.1365219711,960122.8881012165,727664.5431336118,922245.3659872779,739691.920192125,1208530.6946052562,937669.5972599885,862331.8029968829,946352.3434157191,1066164.9709899859,954702.73088381,1073381.9382827114,1068504.8832029898,956886.4215711098,1031833.1307249301,973421.9039654483,859411.492978481,956437.5111926785,1056141.1973384127,986188.6296586063,858088.9070977739,890423.7086890583,710681.3294018647,993009.799549605,1021280.6775445358,794829.6398784702,975383.1984765129,1068294.3728780875,905362.939884474,1133895.18297853,1018099.0451144925,924189.7323105853,823645.7433881212,873498.5988756628,896360.4284155709,875722.5114895988,992822.3779335873,787502.5900899105,1137552.4085107297,1201136.714749393,854391.0981361963,949652.892422277,913501.1982672989,1143600.6862692672,947423.9613138685,1125456.1030105783,1080416.3309387348,1011749.4966268011,1049054.0589295118,1012820.4807377451,1128733.3456090156,1183124.5838921992,1043343.3137307232,830394.1366231947,870191.9334841967,961913.0742031878,989449.8951361778,919599.717388536,803539.7275329095,965870.4855933446,1097370.1428911712,1301831.2090647588,1209751.4974575017,1186341.0201516533,963824.2572680234,1084389.0733754782,784134.9142613631,973864.6169379386,1125709.7488220434,1260490.6645406317,1079470.6857768353,1276497.9411359392,1288061.569630328,1294768.8400603675,1085031.573147765,866221.0340352613,1141166.32144209,975792.0376476947,1176032.5839814693,1160398.573274182,1075709.1068115083,1254782.7482408923,1256677.710943825,1507764.9915035684,1177351.4918997718,1152051.862207333,1195042.4725519598,1205270.3617251043,1117362.9017547877,1470482.9085376002,1246274.895928066,1302788.0963016732,1209543.8463996616,1236972.257586882,1800000.0000000037,1491928.8772384024,1429328.4322437136,1306129.8853634833,1457581.604230954,1484061.4719221862,1065919.7619115633,1173958.616182258,1228883.8964438015,1254999.9999999981,1238700.3520061402,1165787.6583115032,1347127.2027297118,1381361.0177537617,1267444.8304479425,926802.2352550597,1135748.337970343,1341451.2468011011,0
BK17,389336.6922723274,449847.5133185525,409581.32727991184,239290.2930050782,417967.15772976156,284942.0939106557,305491.31292740186,395265.00262210076,420692.78529533534,342819.15574120777,395000.4185031898,345682.2155567091,459369.5737004789,369945.8753907653,399811.7382388947,405994.738344489,388231.07780113013,382326.7097468957,400919.49634327734,415345.39284321654,391697.73789413675,388102.8555589998,343031.6587292579,435947.4126396531,408850.307399296,330705.53148158954,367713.9266499991,380664.7710939326,417906.56898005004,453908.10323193937,400541.0562692609,342596.3798185235,369869.878851841,361796.9642552725,370339.1678671962,426064.97964027117,425824.7765362952,422003.00812336605,443115.3433659282,424498.0112503051,364894.92498967506,351599.50427114335,392452.7344900803,317599.36403448356,363045.3747971795,380338.13762273453,396696.0393700243,490670.1169045553,355661.08511877607,425109.3150356386,480073.6494809512,440259.8342579402,374481.8724373811,350656.5162590577,341836.87410319585,328923.94871948747,469194.09598930855,360882.3869498194,388942.83534349327,394225.9052830743,459696.2331228606,430261.6934286835,450487.81968610117,452076.71852203197,369030.2507235919,328164.57669374975,327656.83456201246,363572.5986651776,409522.1582874558,368795.996113452,403818.4020095155,405795.6121409568,529014.3537955325,440202.2463442522,486107.4057351049,451820.3297513979,437960.5507063344,363935.192118816,398681.48372934683,408734.7235646362,505119.44161956664,513007.8145118555,456970.98677857465,479354.2124856413,464419.2457584049,433778.188725378,519237.1552566709,532950.9383161254,554454.2449863593,501307.1921085105,424785.13086388016,427219.9638871825,538085.9273307831,455966.9271907468,556201.4702986169,497874.00000000146,496709.47932569,552811.5206727561,442860.2594068694,571749.2579705452,471026.58480116865,489249.99999999924,519928.91034303035,569989.0321123087,491163.67022325937,502576.1513152358,505880.92805577535,514563.58927789377,510954.714713369,645890.1686375313,607874.1469177615,659596.3282018893,521156.653619841,476122.9580331697,539849.229390703,507571.85647874256,632952.7634395668,537446.0935552164,505052.90973057714,578073.234750071,564029.2646375822,665006.4132985981,633129.4385466942,577393.7485605062,588531.326068208,622388.4737368673,571343.4376506445,711280.0251779833,643696.744390018,547104.265465895,533777.7929985571,635058.4394894699,552225.1666724072,681191.865617855,677090.7124694497,609740.8948620573,594100.2524554085,594445.6119714637,522960.1922445087,618480.4129009205,641516.0651300662,673193.7835420604,627533.009383703,622513.2216642366,649785.8874225526,690453.0837935585,622115.9631026774,582224.2259745853,565627.9109830267,614413.4872251449,572493.9337365413,599540.0076181588,575129.9906459153,578310.7664215725,598707.457616151,563681.740066183,0
BK19,262508.28815940884,271471.2486945773,357485.3922240375,324971.026296366,339428.74931415945,279222.97074724745,288543.29738630715,218176.1109730185,368197.0361200446,439841.03733339603,336556.6019685583,190534.12100850942,272929.3279657376,275809.58169148024,356716.04775835865,316563.1524795241,284089.74989810534,302902.8661454274,328188.6967835892,309771.1908019017,375508.4166121586,470453.39319100016,391013.0817001863,384361.85651551955,290137.96216955653,337102.7946210265,248066.63427971752,403075.777350144,310099.15341939725,281503.62031410437,368746.5274795061,362361.03175684216,307445.29246875836,397714.8274989956,352332.39259665273,358768.89683883457,397494.5426821582,415723.1710515519,331587.83955797483,356848.8070678614,291016.1203412968,374149.8611820331,490850.2020730653,404421.14664643176,389104.70876509853,424498.1589358985,373592.6244882867,381167.1738925678,328862.5176727539,422748.3860116056,300078.717144869,348434.7610151407,420337.4352329769,375192.7636414604,342765.3018026222,382273.9744275123,424150.7488876482,332198.61223461677,363266.62635199405,440074.36461759184,388032.76074176724,384846.3591538061,372862.51385337475,367319.578577329,306241.566818751,342139.38760404754,469866.57428407634,480725.5708619099,438635.8161600528,552496.3294961879,540785.005478771,438139.24719079107,381102.9235740985,363064.8063187806,372910.8117233572,353589.57512290566,370107.0274733633,405100.88140355016,430182.3918417276,508048.61769758456,473781.74900561344,444042.1272607517,474455.7747944071,445957.87273925083,415653.17436220014,495760.3283544595,357800.61907898914,665958.5680588537,308960.64750952047,415665.634145638,397784.3840419339,396243.4048762829,534974.5405455141,452895.4741354958,423476.12260556704,525192.1878965852,456241.94226039364,553944.3636977652,382089.97528423194,475154.4194629446,331391.1067381734,333252.81913427217,462196.06125427067,492211.0451230616,473331.6808657261,440238.46345179825,452690.51915904426,434692.946536876,402512.63380784355,393073.0696856113,438571.28706021875,442449.11755823065,450287.45311865443,416595.20941256575,455122.3351551439,489640.5962753182,488076.8662755509,522220.8119526296,494356.19405524107,555562.2209453611,401646.8131787722,93188.12328418216,341439.99116348807,128497.79445126904,389913.2266894932,-110728.01316583407,218907.90280179834,395977.7191588153,482905.88603423163,43123.82736528147,305816.1130197339,327437.38322440814,286752.4742137752,570213.7761646749,474011.36466175783,513729.8928142924,357246.9335768009,333164.49638492364,438480.25145005976,480689.3403594894,446644.1226086535,579327.2771298655,582334.8714982786,557680.4606293049,408416.9351913693,386643.36062817887,395128.7121842598,517896.73655682476,504136.7905057855,509128.7111323725,415258.2612383351,507317.3250599021,419543.3868672042,361691.88245405594,420863.90240342065,406952.2557353858,0
BK21,180803.3448130585,185621.93492946343,137992.3753299512,33638.47253916279,136039.6961972646,131613.866827174,114624.82825031465,-28505.261367790692,114089.36079702029,114601.3768879181,174650.61829355697,241136.47851117718,177005.85218719422,37007.80532162427,211331.93346273483,133477.25084956494,157009.18942518532,150242.12917954457,135807.01463030252,42056.07095281122,198711.06301764384,183953.02368205017,267396.7227063669,107336.59704074496,145770.30068272178,151523.75302915613,-51684.56423730892,89721.36041060546,134243.3652817962,147375.28679894473,84224.4189472101,181621.25842190353,42018.91838489538,164551.62124738627,125881.494939751,133521.4603957721,147078.5619344777,142323.8459715776,157479.0273170695,127212.53018579187,164304.43813202085,247758.61628375459,162689.46413118782,90067.84208805885,55544.46118238324,161180.59450702072,187009.411423671,143128.60421777985,239194.29982635414,272954.5979278122,251771.8533812257,204055.18553381524,155276.7161425925,179767.6217254311,165294.75015311403,110887.22751133342,163746.16459849314,69002.15843716828,192735.60572089074,148274.15530838593,184280.71658901847,185827.42558083244,214875.99956346222,261031.82297738182,217387.60393716805,162509.3391515372,180806.88074826676,208709.3016291857,220366.4140709929,269466.5951656037,269468.02422519505,228657.1773925185,226102.98765380448,279536.68376947625,257239.95547247658,261242.3869244509,265288.5237791819,174162.49864000792,205368.77285734215,298569.78665961046,510992.2595885528,277988.07672790805,317889.2263473526,298537.97226703673,300221.97299567907,332897.37566484563,324711.5438355842,354389.83778186864,246065.74883407145,344776.0993039433,246593.1906174341,363166.7433845514,319185.2819709424,487565.1390661972,318681.7566374059,296134.4711745696,378126.641518345,398029.18159833766,447244.8220068143,241298.79568985925,268155.51046690065,259565.8600818977,358636.4074104723,189788.76845428158,289675.4293848624,248987.00931592836,449500.0000000005,334311.5940628374,312712.28542551136,173994.59043958376,251828.09300839293,215553.38175656323,278818.5200589905,309592.5387843445,440000.0000000005,201475.51349346724,155066.7600385618,102521.42130507182,146735.03023378662,132961.07745298135,372561.4497498933,-101986.77754228184,150230.4880542562,271814.83398219885,272036.43767249864,265726.13798716594,183190.36671205793,334300.0508553052,435665.2030438518,90103.7699608162,21697.841439274504,77941.43740358728,234509.19785896188,558110.9643394921,407692.80757469207,400186.835002982,322568.1061568382,275168.8572453512,367378.5126099298,353386.3720777144,376757.65506724274,449022.8270836668,336687.8904885907,373318.8281647129,376168.1447924731,508184.32278235717,467169.12552999903,491910.79671922943,280757.1994580222,377156.8177172005,425000.0000000003,284334.613798992,281176.64708492986,453340.2627065999,401263.0469674807,425950.95207238226,0
BK23,314944.671921015,282520.96375108353,507523.2658604843,455726.43019889673,384831.92183126614,393066.1732399124,454839.05932848767,385892.0911845823,412394.36503439303,351962.84896696557,442535.8465120852,400095.30760243186,367865.13490938675,294555.32864449103,325348.03948268,336547.01059769175,381534.05274271045,288526.28251132224,365640.76395349996,383574.6624753454,436130.3941250222,429902.6425515679,385525.6876958095,331119.1859392018,304945.1122741391,375151.8734142571,165633.2070578404,291383.7675799667,333723.2215452921,236045.1608032009,334487.41827901045,373322.07644895,375115.1645763585,469605.2413925204,376654.2088739077,418729.9583248649,336555.42564798443,426641.4639365827,344241.0905343802,321327.81005078735,275482.89458093036,390830.63349858543,432434.00687662285,340606.0748817886,414887.6140974681,388910.8426091835,365486.03860379994,357776.89939477673,427109.81973786326,309455.7702584948,375674.89377823146,375617.56370915385,358015.24635237467,438138.2303679227,330810.0399730553,425443.7348968192,371653.4526572571,526420.3135185926,362966.56785222655,371223.4917054298,296660.1328970985,399063.3584700772,506875.05221261753,319699.4693713543,476007.87614811974,437729.1719100157,377127.08022538666,361339.1283983747,417237.4765648596,438784.74090368807,352361.9048195083,387156.10509391484,352141.1976207009,406602.79537577723,290668.52054319065,341420.277194578,392575.36557822145,422814.49539923144,468831.8907023923,473103.96180457884,421602.9578039992,424691.0113975422,430243.2447091051,443778.09543172934,396566.3943961169,365427.9260747272,334388.31964353344,426096.52324029,422119.9350079282,521362.3139552545,506456.5082863161,396777.62185470096,471571.04703193426,476981.9882349135,420384.5507742739,468749.9999999999,366873.1877303644,355662.3749396219,346416.24705226586,393192.9781438668,394628.6187515609,422169.782101187,513583.75294773467,469273.73156001745,376052.2386917607,453825.00122918555,324012.6339838566,411062.47197798983,327500.0000000003,417223.37284297426,359877.34654372535,339005.3590766777,377030.7814209715,455783.4091141323,405207.993812795,539561.4784910278,384161.0541580033,575125.4754112624,413620.79633824807,443858.9122659109,401914.1698673669,215131.636986876,93733.16847707127,277676.00264047744,327355.7288582999,263551.60433743795,223625.77101268937,345156.7077147947,265871.6592785385,388627.387199077,416627.80864216824,184860.99399213423,334993.8599383551,629097.5473215175,406982.59273594245,415155.07351007307,275281.5059054045,382394.86190287303,420378.94383738656,460737.7979059584,449902.7033718246,476326.38750197005,480815.54804274277,455691.5323072227,477856.9230814171,481579.84805255616,436481.56828492205,272546.1947694547,403550.72982720484,479546.1491632468,412397.7802046158,532599.5973214696,597921.427746996,468369.17172026774,530955.7991149153,464608.4186125925,1
BK25,307999.3963234679,369616.91379335657,351469.6101103517,275914.61251294625,398272.30477804487,263314.0359890099,379509.9964640359,404173.1055535376,380573.08471424633,399126.33284897817,386094.2665016667,350325.6650806215,475989.0828108519,352926.47357621515,382230.5347678267,370329.6487172399,348965.97609862156,360883.18554871134,366882.07270033984,412975.1016392259,396661.10680341185,398606.82402888394,339622.4516792869,366199.5003035582,356229.33603337745,388385.38591794134,370491.38158032944,441290.41546930437,390078.83364386245,426607.57750149164,376533.76858937804,376414.72008682863,414237.9495936858,406884.9379784206,345866.6483696227,363947.6538019908,373076.09734948084,460654.21026629955,386890.94413392496,450292.29684658116,376797.3736261671,377306.7749383084,435502.18764906627,376694.4011253117,429272.5368927342,372888.4483809396,411708.3564091753,433547.3734857429,411772.9225357608,411610.8216746392,413117.4154293176,414334.2581709707,480263.0445742897,422625.77968039014,427920.5302869879,400304.63432336145,336494.0952746816,420059.2391076283,440743.94833996304,449145.6694485536,366813.0471763097,429645.6997286865,536794.6472444,433367.0311645775,341209.32899542205,343089.24212199374,315441.46008443687,396001.06807573844,391145.3932167565,423483.1570687485,442385.30690550205,447280.2682727351,447005.9784603245,505305.8315638916,457886.06674729334,396309.91398002574,401952.8320351174,338289.5974043957,391240.1290635982,437407.79812345136,545949.8470900713,381477.12642614846,478544.11184085585,495830.4892397727,516421.60998763365,471833.1445417621,467931.61740036344,529842.7303660384,508873.76837813796,495239.62885896565,425109.5164505436,507519.0874731237,468659.5354515073,478503.1349792874,530615.041069073,517384.7732622878,519501.8452951439,571375.3958572941,484242.3569888617,564778.0431685618,457760.76563740964,478278.7090411352,504003.9729684533,617398.1547048568,497012.9701243432,526864.8816040781,495876.23038733413,606195.489028878,513577.88320324617,627598.4588104233,576175.6620047364,625489.0727237817,560872.1173111997,580229.1667749024,541340.9109040821,613370.433676973,532358.431982999,555775.4143932436,540322.0967066906,581891.1884106991,582381.9705302917,671273.6335912708,628820.2684138711,622174.5790796994,576136.6457614995,557985.3650066114,615838.1089150537,634110.2596808842,665205.555156278,622584.9841848148,492484.9067124527,685892.8545345161,598852.0058169574,766155.8999885921,589115.15033942,675246.1178462144,595476.1048086993,643726.6638140403,632745.4273477176,615254.0412885539,614537.9254707105,522540.43927376275,518738.011103814,564247.6413540993,598792.6273978569,603587.6963409187,584841.7423406274,563094.569218239,575006.0159568901,612900.6079196153,517297.8941611896,593138.194558251,548657.3472306542,572923.0502363252,496117.2219095092,607303.6088908426,1
BK26,517485.7321610473,576607.5064190746,484454.5388065405,512157.8755475729,598513.0553110241,494326.2167912924,465007.38796993636,602255.3373254689,591461.480800673,530163.9949233055,587291.4435971567,558591.7478782657,664048.4462307898,522103.53312335256,485298.23107460537,541024.6824890461,581595.9527933414,586310.1678853594,564225.0008298788,478362.64884863223,616541.9706654394,601484.1247466656,549265.7072469259,621080.3759397117,625884.2857665215,567550.2944563456,597192.927493415,626266.6628075785,587968.2205070033,568836.1437386093,552733.0731526223,548394.9834953346,512675.9422370986,585978.720849456,615760.9305343933,619768.1956257591,592995.8483777621,619722.7021698203,595247.1463739447,645037.1912432453,605844.9270700073,583882.9145287855,533173.20053963,549685.6639891077,525481.4409110703,628433.4547138495,674691.3879276292,616575.532417998,665798.5154743181,645328.2954005947,672154.0445909686,633023.6565927018,666955.572624846,623577.3075730792,638110.0611212357,627104.4068814166,683204.5997156188,553174.0115593356,602515.0656976426,680081.2261506019,665171.121773894,702879.6222168234,734881.1663115693,728344.1320394701,719577.312325248,660316.1121156006,643542.6046891592,660250.9983797957,666721.1945224077,691043.5324719148,681293.2716570966,711983.6763038163,757475.4889279347,701586.4648696024,721663.7294595754,833364.1279551806,611565.1585194049,632618.502622395,693092.910995895,704074.0439384067,858619.3453416798,780822.7785227641,700485.8015145939,754141.9640262648,716068.1241321223,849999.9999999986,757594.7391287042,838078.7227012111,782744.8846712365,817505.9623145699,747471.8262814437,728836.8117930212,842689.4935642653,742382.4787109667,674262.2086338932,869735.0976127908,903685.6766190322,893497.6164333473,911938.0110615906,959558.3261841557,765957.360554757,876220.3478919499,776400.9210784417,782137.5554076794,795367.946945006,788106.7902910679,807273.4814654328,822115.8902756115,964702.2772120087,828419.8316601925,829376.8658920769,919242.5824119493,944924.1505959083,896032.8921109408,719999.9999999999,649387.5526461957,875258.7729450689,831823.2537016247,720894.8847111417,893640.8892865519,865053.4286261974,769645.9661412406,797241.7374459351,874629.988118444,842926.8757540155,733176.7523920168,749822.0955341647,782039.9656867277,1015201.6585320871,724400.786445153,780205.2538025088,912765.5889445882,807504.9910054671,890805.9484850839,890284.5109512531,930353.3871280088,866058.9618623289,824083.0229293103,837234.3843364635,877862.1878534495,856436.9271649517,887980.219259427,794964.3148228512,870850.269254755,992219.0311767681,1049866.8774470678,1050530.9072178875,977407.4593746576,845865.7655702147,951376.4680390117,835628.7461070312,893124.46226716,979912.4784679383,959781.7476712323,900774.4174177302,989328.9146259885,1
BK27,422036.8292770666,73630.8402456335,299407.6517777201,443035.6413137427,401837.90067231853,459875.12290793686,549857.0333703583,479113.76733815606,270688.7840649048,133030.00107050524,448062.7645154623,448280.8482127434,367344.2935929355,441959.3556579977,299998.28182458645,323283.4355320704,553619.6896532902,678195.9114561689,490958.192113119,323159.50444443384,455107.35480389895,344753.28213443916,495984.34682083415,498650.64403042954,376186.7836543299,501827.0341975594,544358.2819023458,387170.13330268196,357985.4835625602,201211.42604412348,378327.8737278191,488277.13142750063,367512.023046029,469605.0711347406,677534.0035568392,516069.2519191568,429019.95609441487,468683.8939971234,409034.1632583385,477293.35050765995,353370.16769743414,427146.57597950083,391475.8020222168,494136.8326100215,513168.19229383837,463130.7750790514,435445.60423010815,382872.21204472845,666435.4058387706,805345.2662363951,581466.8152145402,542529.4015059834,512862.4176387532,370360.53891568765,386847.233070129,465854.4305954054,475237.8095600554,749151.5883174639,561316.8002127577,384106.0030361292,751554.9148669117,642303.0681241346,529542.9975220358,451356.38749719184,695469.1689811773,685717.6934497361,809395.9387347973,1029654.7337635953,657745.5340142332,464014.9890628622,540980.8272121199,439167.42750271823,706349.2574436634,408579.4533493146,554100.5043180934,526007.5637805762,585780.3170824316,590751.8065547296,550750.8389273167,522122.84855252405,692593.2087892287,182948.87330243213,-64831.498596765276,445051.30104967026,765314.2662920149,475779.8821012572,534065.0977230496,835042.1383563285,497238.8539146615,536646.4932822161,499311.0639992408,529283.2027084323,607737.6146599113,540671.3071544718,323134.67054177565,530513.7934002897,806388.0796290301,347322.7736994014,475607.2549433619,836559.8212389783,-5041.962060617778,221349.93079386727,727157.4172233564,1048874.695784993,684819.1531014305,589552.791406916,719818.9310051294,563389.6116777458,384344.10335581604,520172.64244850393,880095.3973265991,741362.4710852939,542718.5102834073,359670.91281645553,407977.84537119797,331348.3268177285,507668.1613936091,587384.9462877987,653195.2938940718,631599.4283967344,1421377.4279880761,129494.38886277395,245521.61599307717,449085.5830047436,688157.6138544311,609706.954288196,453578.81385553506,450642.7876340702,656810.8378358479,566277.8457153797,797737.6548580856,480216.6410710957,371466.33075942064,1176252.301142999,765526.6807470487,1075802.0633183126,282666.7445630642,532255.5622297714,558879.1061339066,654268.4614277412,629587.9501794097,728338.4583920825,663926.752035744,932617.5159940559,871383.666965679,708687.6157089064,718016.4311553021,760169.6042979399,875049.2875263828,701069.0561917699,873480.4883439424,618608.8364809253,562669.9659528956,782984.1908843867,709808.4659210325,869486.5110838392,0
BK28,675021.313730499,699046.9754259043,779088.9478486365,511813.11824866023,618307.2398273507,619003.2506674473,707307.506565338,634379.7640985604,632791.1591391023,636028.183461553,800146.6791089409,685610.4790108934,842871.4702658651,778698.3065380773,805453.9165705135,636647.5184656436,831940.2748375206,660647.8188137142,672815.8330593412,339818.0463357024,630670.4364827855,660761.8361124026,598672.5736279793,679218.6287043878,744689.9016333726,538314.8100723007,617290.8344802298,715129.739131887,653392.5589620406,685543.0289049253,668249.1475435073,688128.3993236513,666893.9143941107,748466.0144618546,677332.1288096466,709746.240061112,808025.4787250474,724056.7274252633,653643.8190159156,594041.1566792565,610290.1590910947,701139.1239539328,740502.3218462509,630824.3451718506,688248.5649536026,668053.7387748725,652247.9809758173,577027.3179500913,839407.7034019517,830831.577296429,757316.5165526366,728164.1943915677,714020.4561070914,747029.1751297486,766054.3324581371,720864.418102919,871113.4649129438,765771.219688551,742214.7804893393,765108.9499400664,772121.2938414307,853709.1089407045,834454.3132562162,947762.9484196599,827931.5252278531,902028.5533276699,857846.7318509481,867732.5067005096,838509.2710411476,791094.2919490695,806753.252210705,812239.0849525137,780597.0287925107,977105.1182950421,985220.2746061808,925977.5442978663,778811.851293334,795690.7959117074,850788.250158084,887412.5390947157,948756.9811654473,822686.5781278672,977766.3509593583,854252.3886284623,976772.3818898869,984852.1439653425,1100000.0000000007,1017118.5933045367,943676.4620152835,853919.3122675556,1001581.9107512088,971473.951116553,932023.0501692798,977035.2288278517,1044289.3817435815,1089187.2861316125,1071270.7838712132,1109421.3795784486,781169.604081874,1170591.1286813312,1018454.1923633243,1039213.8805241405,1059081.7940606712,977502.1986874916,1117500.0,905754.4860807664,1007656.8661784928,868000.0000000012,1089044.552512027,1096048.1827525976,1026789.7995676392,1065119.893078818,834716.810374234,912593.9727880788,1058297.4071414196,1145598.976015143,1081607.0434793965,1047531.0173385558,1020145.7159311911,831019.198508878,1143320.5315257893,1035808.5146274032,761465.285250982,952916.8059188027,938489.5398964118,791936.3228293203,821965.3370690723,1007994.4486306676,1015185.0102684903,911251.448545632,482961.9557174975,1049114.5091706445,963444.7594643882,1148474.4366481316,1118940.1355889235,1318174.1223180336,1023611.6044956176,1089355.458701784,1069382.9334219377,1097222.112395286,946415.456498461,1035129.4895238864,1014937.6465803199,1122854.0792757259,1247698.6605462488,1376692.4567242232,1285418.3653170196,1232014.8462045486,1084496.1698911428,1033762.944706297,1089388.1237548767,1186926.8338158843,1048777.1937764522,1061872.9146786565,1090424.482414457,1009437.3772197242,1
BK29,787343.005203906,674853.3219373566,725703.0200396975,555206.2611400193,733188.5580119509,716445.2217072804,718688.7329222435,769901.1059920709,715877.2527017705,730918.5444002242,736270.035591263,665378.5356553268,837993.2473563931,729757.5032414906,711096.1719891607,708200.3446597909,724610.6173439876,628355.3150998141,709973.2712939124,655881.5365637749,720870.6251307646,664348.5107381546,627184.5032762047,631302.4865166212,650574.0274899941,619378.6927856484,590459.9761476463,758339.4135687407,712492.7341445668,717600.3113528132,660773.324833784,655547.9583856971,615881.5119626492,631551.6124669114,671455.6521269424,716058.7919736654,745369.6357931569,695546.7126486097,848158.5424339884,734726.7116760325,661652.9425596306,743943.6910346539,699061.1937405588,785206.6851268222,648594.3964155602,682792.3581252526,726255.1206458192,733041.4382007316,819758.7831604017,732372.7878918082,750694.4890387816,738456.6369031921,797215.4065781408,765472.1638790711,676346.0272427341,715698.4548277835,715899.4572801058,673801.2864510455,606090.7878342349,717549.1150372381,787279.8583223916,856112.7623261759,832860.2299727632,884450.0317244312,808109.425465575,770763.9828495025,760245.1552838823,702748.2269304802,779241.0536450967,828937.5518480352,812797.7435828284,785304.5737058779,950169.2747667753,970704.2981235405,929718.9174980083,851579.3956386866,891121.3862891593,892469.4798045,900183.3237310224,747884.3828997554,882349.6172231403,862557.1015118039,977150.2969598246,917699.4918973835,884819.4465919584,974635.0987527522,1067553.2967548957,1075076.4247652628,851205.1014335284,1042882.156807628,1011719.8829348978,795357.2862006507,915929.7509876997,865525.2302556535,841039.5639591254,1025507.5442737733,1057189.5739750664,1057124.4723742814,691917.3022943302,999229.4086413775,976126.824219872,1308496.4145419006,1120025.334368462,1157451.4669417236,890994.1525856685,1044020.3429378256,1008552.7247557684,1121705.5913574717,1149999.999999996,978382.2651819795,1076304.942090394,1224193.573394232,933767.2097498521,936891.7406338938,959254.2300434092,1017203.4990534994,965644.8964542627,903925.2663895788,971017.1194262463,966073.1405564281,1136965.8040146679,853015.0937164448,936360.0258714162,1006144.6160288872,1087017.9922249843,587778.051423402,477682.14477112296,1095648.624807581,961781.4855574863,865286.0448280757,650402.4955591675,824487.6504622673,1021249.720502647,1188789.7763221185,1213134.6634067749,1182511.4794226335,990083.989320676,1051151.9520852866,953263.6115423742,1017869.258732556,1131035.8535703039,1128947.403732909,974943.6997579068,1119104.792505442,1183278.7377789305,1265142.9355310681,1318026.3761165566,1332852.1931059193,1131340.4455737588,1260841.0149747706,1013982.4418495514,1247333.5007077458,1091835.6400147723,1034210.8313778874,1022362.2103565945,1178296.044481744,0
